Elapsed time;qo;Qo
(hr);(m3/D);(m3)
3;48,67894524;3,6901061
6;43,9274774;9,181040775
9;38,19460801;13,95536678
12;34,83106835;18,30925032
15;32,56571721;22,37996497
18;30,8859899;26,24071371
21;29,65146598;29,94714696
24;28,63038494;33,52594507
27;27,82039221;37,0034941
30;27,03784105;40,38322423
33;26,46570689;43,69143759
36;25,93932027;46,93385262
39;25,45493442;50,11571943
42;25,01303557;53,24234887
45;24,61383354;56,31907807
48;24,25837975;59,35137553
51;23,94302514;62,34425368
54;23,66953814;65,30294595
57;23,43776619;68,23266672
60;23,08887415;71,11877599
63;22,89362006;73,9804785
66;22,73586606;76,82246175
69;22,40908168;79,62359696
72;22,3189736;82,41346866
75;22,05622574;85,17049688
78;21,94336706;87,91341776
81;21,72929378;90,62957948
84;21,62570627;93,33279277
87;21,41074113;96,00913541
90;21,36605537;98,67989233
93;21,10044569;101,317448
96;21,10044569;103,9550038
99;20,86169852;106,5627161
102;20,797788;109,1624396
105;20,72524714;111,7530955
108;20,50263829;114,3159252
111;20,50263829;116,878755
114;20,35883042;119,4236088
117;20,21493302;121,9504755
120;20,21493302;124,4773421
123;20,06479819;126,9854419
126;19,93423114;129,4772208
129;19,93423114;131,9689996
132;19,84293881;134,449367
135;19,66035414;136,9069113
138;19,66035414;139,3644555
141;19,66035414;141,8219998
144;19,42619592;144,2502743
147;19,39317518;146,6744212
150;19,39317518;149,0985681
153;19,3557019;151,5180308
156;19,13241767;153,909583
159;19,13241767;156,3011352
162;19,13241767;158,6926875
165;19,10359549;161,0806369
168;18,87787704;163,4403715
171;18,87787704;165,8001061
174;18,87787704;168,1598408
177;18,87787704;170,5195754
180;18,68871228;172,8556644
183;18,62937596;175,1843364
186;18,62937596;177,5130084
189;18,62937596;179,8416804
192;18,61432361;182,1684709
195;18,38672045;184,4668109
198;18,38672045;186,765151
201;18,38672045;189,063491
204;18,38672045;191,3618311
207;18,38672045;193,6601712
210;18,1525778;195,9292434
213;18,14972477;198,197959
216;18,14972477;200,4666746
219;18,14972477;202,7353902
222;18,14972477;205,0041058
225;18,03187104;207,2580896
228;17,9182336;209,4978688
231;17,9182336;211,737648
234;17,9182336;213,9774272
237;17,9182336;216,2172064
240;17,9182336;218,4569856
243;17,78406515;220,6799938
